1,2,3
21.93,21.62,2022-04-16 13:19:51.786322
21.93,21.62,2022-04-16 13:20:02.501254
21.93,21.62,2022-04-16 13:20:13.216141
21.93,21.62,2022-04-16 13:20:23.930923
22.02,21.62,2022-04-16 13:20:34.645950
22.02,21.62,2022-04-16 13:20:45.360810
22.02,21.62,2022-04-16 13:20:56.071728
21.93,21.62,2022-04-16 13:21:06.786649
21.85,21.62,2022-04-16 13:21:17.501532
21.93,21.62,2022-04-16 13:21:28.216386
22.02,21.62,2022-04-16 13:21:38.931273
21.93,21.62,2022-04-16 13:21:49.646140
22.02,21.62,2022-04-16 13:22:00.361067
22.02,21.62,2022-04-16 13:22:11.076010
22.02,21.62,2022-04-16 13:22:21.790817
22.02,21.62,2022-04-16 13:22:32.505724
22.02,21.62,2022-04-16 13:22:43.220575
22.02,21.62,2022-04-16 13:22:53.935456
22.02,21.62,2022-04-16 13:23:04.650378
22.1,21.62,2022-04-16 13:23:15.365250
22.02,21.62,2022-04-16 13:23:26.080112
22.1,21.62,2022-04-16 13:23:36.795029
22.1,21.62,2022-04-16 13:23:47.509887
22.1,21.62,2022-04-16 13:23:58.220680
22.1,21.62,2022-04-16 13:24:08.935744
22.1,21.62,2022-04-16 13:24:19.650592
22.1,21.62,2022-04-16 13:24:30.365411
22.1,21.62,2022-04-16 13:24:41.080314
22.02,21.62,2022-04-16 13:24:51.795264
22.02,21.62,2022-04-16 13:25:02.509992
22.02,21.62,2022-04-16 13:25:13.224983
22.02,21.62,2022-04-16 13:25:23.939692
22.02,21.62,2022-04-16 13:25:34.654617
22.1,21.62,2022-04-16 13:25:45.369511
22.02,21.62,2022-04-16 13:25:56.084502
21.93,21.62,2022-04-16 13:26:06.799303
22.02,21.62,2022-04-16 13:26:17.514059
22.02,21.62,2022-04-16 13:26:28.229082
22.02,21.62,2022-04-16 13:26:38.944012
22.1,21.62,2022-04-16 13:26:49.658888
22.1,21.62,2022-04-16 13:27:00.369798
22.1,21.62,2022-04-16 13:27:11.084496
22.02,21.62,2022-04-16 13:27:21.799419
22.02,21.62,2022-04-16 13:27:32.514475
22.02,21.62,2022-04-16 13:27:43.229318
22.18,21.62,2022-04-16 13:27:53.944152
23.19,21.62,2022-04-16 13:28:04.659043
22.94,21.62,2022-04-16 13:28:15.373682
22.94,21.62,2022-04-16 13:28:26.088530
22.85,21.62,2022-04-16 13:28:36.803679
22.85,21.62,2022-04-16 13:28:47.518563
22.77,21.62,2022-04-16 13:28:58.233469
22.77,21.62,2022-04-16 13:29:08.948300
22.77,21.62,2022-04-16 13:29:19.663196
22.69,21.62,2022-04-16 13:29:30.378156
22.69,21.62,2022-04-16 13:29:41.092955
22.77,21.62,2022-04-16 13:29:51.803896
22.85,21.62,2022-04-16 13:30:02.518693
22.77,21.62,2022-04-16 13:30:13.233714
22.69,21.62,2022-04-16 13:30:23.948311
22.77,21.62,2022-04-16 13:30:34.663171
22.77,21.62,2022-04-16 13:30:45.378289
22.77,21.62,2022-04-16 13:30:56.092945
22.69,21.62,2022-04-16 13:31:06.808048
22.69,21.62,2022-04-16 13:31:17.522707
22.69,21.62,2022-04-16 13:31:28.237581
22.69,21.62,2022-04-16 13:31:38.952613
22.77,21.62,2022-04-16 13:31:49.667509
22.69,21.62,2022-04-16 13:32:00.382329
22.77,21.62,2022-04-16 13:32:11.096953
22.69,21.62,2022-04-16 13:32:21.812072
22.77,21.62,2022-04-16 13:32:32.526931
22.69,21.62,2022-04-16 13:32:43.237556
22.69,21.62,2022-04-16 13:32:53.952781
22.69,21.62,2022-04-16 13:33:04.667340
